data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtecodi,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id
2020-06-04T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,5.0,SARRIÀ-SANT GERVASI,0.0,Home,Positiu per Test Ràpid,1,row-s2sw~s4hw_gysz
2020-05-28T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,7.0,HORTA-GUINARDÓ,0.0,Home,Positiu per Test Ràpid,2,row-97n6_vuij~c2gu
2020-05-21T00:00:00.000,10.0,BAIX EMPORDA,17118.0,PALAMÓS,,No classificat,1.0,Dona,PCR probable,2,row-nntj_nta4~hi94
2020-05-29T00:00:00.000,7.0,BAGES,8140.0,NAVARCLES,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-bc92_xe96_a4bh
2020-10-01T00:00:00.000,11.0,BAIX LLOBREGAT,8123.0,MOLINS DE REI,,No classificat,0.0,Home,Positiu per Test Ràpid,1,row-5e4w-jemz.tmud
2020-10-01T00:00:00.000,11.0,BAIX LLOBREGAT,8200.0,SANT BOI DE LLOBREGAT,,No classificat,1.0,Dona,Positiu per ELISA,1,row-jjq7-crdk-w6mt
2020-10-01T00:00:00.000,11.0,BAIX LLOBREGAT,8208.0,SANT ESTEVE SESROVIRES,,No classificat,1.0,Dona,Positiu per ELISA,1,row-ecnm~n2xy.vzrj
2020-06-15T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,4.0,LES CORTS,0.0,Home,Positiu per Test Ràpid,1,row-mdx5-hag3~awtp
2020-06-15T00:00:00.000,7.0,BAGES,8113.0,MANRESA,,No classificat,0.0,Home,Positiu per ELISA,1,row-xsu6-4nbt~grdw
2021-01-13T00:00:00.000,41.0,VALLES ORIENTAL,8259.0,SANTA MARIA DE PALAUTORDERA,,No classificat,0.0,Home,PCR probable,1,row-ciwx-rymp_cebc
2020-08-22T00:00:00.000,13.0,BARCELONES,8101.0,L'HOSPITALET DE LLOBREGAT,,No classificat,0.0,Home,Positiu per ELISA,1,row-5qdh~kfsa~u7rz
2020-08-19T00:00:00.000,40.0,VALLES OCCIDENTAL,8187.0,SABADELL,,No classificat,0.0,Home,PCR probable,1,row-hpiu-bkxq_p9xv
2020-05-12T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,3.0,SANTS-MONTJUÏC,1.0,Dona,Positiu per ELISA,1,row-3jcu.jnm6_acux
2020-06-09T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,9.0,SANT ANDREU,1.0,Dona,Positiu per ELISA,1,row-mdci_fw3q~6trq
2020-05-06T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,7.0,HORTA-GUINARDÓ,1.0,Dona,Epidemiològic,1,row-chir.8z2m.bkcj
2020-12-05T00:00:00.000,11.0,BAIX LLOBREGAT,8301.0,VILADECANS,,No classificat,1.0,Dona,Positiu per ELISA,1,row-iri9.qvda~9hx7
2021-01-20T00:00:00.000,13.0,BARCELONES,8245.0,SANTA COLOMA DE GRAMENET,,No classificat,0.0,Home,Positiu per ELISA,2,row-r4f8.xgmg~xjap
